subj_idx,cond,R1,R2,reward,choice,rt,postjudgment,block
4,1,12,11,11,2,0.503,0.67,1
4,1,12,11,11,2,0.455,0.5,1
4,1,12,11,11,2,0.414,0.5,1
4,1,12,11,12,1,0.478,0.19,1
4,1,12,11,11,2,0.664,0.63,1
4,1,12,11,11,2,0.751,0.5,1
4,1,12,11,11,2,0.389,0.5,1
4,1,12,11,12,1,1.079,0.5,1
4,1,12,11,11,2,0.487,0.5,1
4,1,12,11,12,1,0.606,0.5,1
4,1,12,11,11,2,0.399,0.5,1
4,1,12,11,12,1,0.438,0.5,1
4,1,12,11,11,2,0.743,0.5,1
4,1,12,11,12,1,0.343,0.5,1
4,1,12,11,11,2,0.528,0.5,1
4,1,12,11,12,1,0.583,0.5,1
4,1,12,11,12,1,0.416,0.5,1
4,1,12,11,11,2,0.472,0.5,1
4,1,12,11,12,1,0.503,0.5,1
4,1,12,11,12,1,0.435,0.5,1
4,1,12,13,13,2,0.471,0.5,1
4,1,12,13,13,2,0.672,0.5,1
4,1,12,13,13,2,0.439,0.98,1
4,1,12,13,13,2,0.455,0.84,1
4,1,12,13,12,1,1.366,0.5,1
5,1,3,2,2,2,1.642,0.5,1
5,1,3,2,2,2,1.187,0.5,1
5,1,3,2,3,1,1.198,0.5,1
5,1,3,4,3,1,1.382,0.5,1
5,1,3,4,3,1,1.046,0.65,1
5,1,3,4,4,2,0.998,0.5,1
5,1,3,4,3,1,1.142,0.5,1
5,1,3,4,4,2,0.958,0.5,1
5,1,3,4,4,2,1.23,0.73,1
5,1,5,4,4,2,1.046,0.78,1
5,1,5,4,5,1,1.078,0.5,1
5,1,5,4,5,1,0.79,0.67,1
5,1,5,4,5,1,0.846,0.68,1
5,1,5,4,4,2,1.262,0.5,1
5,1,5,4,5,1,0.662,0.8,1
5,1,5,4,5,1,0.846,1,1
5,1,5,4,5,1,0.854,1,1
5,1,5,4,5,1,0.63,1,1
5,1,5,6,6,2,0.91,0,1
5,1,5,6,6,2,1.222,1,1
5,1,7,6,6,2,0.846,1,1
5,1,7,6,6,2,0.574,1,1
5,1,7,6,6,2,0.678,1,1
5,1,7,6,7,1,0.974,0,1
5,1,7,8,7,1,0.67,1,1
5,1,7,8,7,1,0.638,1,1
5,1,7,8,7,1,0.822,1,1
5,1,7,8,7,1,1.166,1,1
5,1,7,8,8,2,1.23,0,1
5,1,7,8,8,2,0.83,1,1
5,1,7,8,8,2,1.048,1,1
5,1,7,8,8,2,1.111,1,1
5,1,7,8,7,1,0.926,0,1
5,1,7,8,8,2,1.118,1,1
5,1,7,8,8,2,1.013,1,1
5,1,7,8,8,2,0.638,1,1
5,1,7,8,7,1,0.758,0,1
5,1,7,8,8,2,0.614,1,1
5,1,9,8,8,2,0.638,1,1
5,1,9,8,8,2,0.79,1,1
5,1,9,8,8,2,0.67,1,1
5,1,9,8,8,2,0.686,1,1
5,1,9,8,8,2,0.709,1,1
5,1,9,8,8,2,0.662,1,1
5,1,9,8,8,2,0.806,1,1
5,1,9,8,9,1,0.574,0,1
5,1,9,8,9,1,0.926,1,1
5,1,9,10,9,1,0.574,1,1
5,1,11,10,11,1,0.75,1,1
5,1,11,10,11,1,0.974,1,1
5,1,11,10,11,1,0.622,1,1
5,1,11,10,10,2,0.902,0,1
5,1,11,10,11,1,0.798,1,1
5,1,11,10,11,1,0.622,1,1
5,1,11,10,11,1,0.59,1,1
5,1,11,10,11,1,0.59,1,1
5,1,11,10,11,1,0.854,1,1
5,1,11,10,11,1,0.606,1,1
5,1,11,10,11,1,0.742,1,1
5,1,11,10,10,2,0.75,0,1
5,1,11,10,11,1,0.638,1,1
